"['He', 'is', 'still', 'apart-time', 'instructor', 'in', 'the', 'department', '.']","tf.Tensor(3, shape=(), dtype=int32)",4
"['All', 'credits', 'appearing', 'on', 'page', 'or', 'at', 'the', 'end', 'of', 'the', 'book', 'are', 'considered', 'to', 'be', 'an', 'extension', 'of', 'the', 'copyright', 'page', '.']","tf.Tensor(1, shape=(), dtype=int32)",6
"['08/04/2009', '08:21', 'PM']","tf.Tensor(2, shape=(), dtype=int32)",1
"['Copyright', '©', '2010', 'by', 'The', 'McGraw', '-', 'Hill', 'Companies', ',', 'Inc', '.']","tf.Tensor(1, shape=(), dtype=int32)",2
"['August', '2009', ':', 'Neaman:MHDQ134-FM', ':', 'MICROELECTRONICS', ':', 'CIRCUIT', 'ANALYSIS', 'AND', 'DESIGN', ',', 'FOURTH', 'EDITION', 'Published', 'by', 'McGraw', '-Hill', ',', 'a', 'business', 'unit', 'of', 'The', 'McGraw', '-', 'Hill', 'Companies', ',', 'Inc.', ',', '1221', 'Avenue', 'of', 'the', 'Americas', ',', 'New', 'York', ',', 'NY', '10020', '.']","tf.Tensor(1, shape=(), dtype=int32)",199
"['Hard', 'disk', ':']","tf.Tensor(1, shape=(), dtype=int32)",0
"['COSMOS', 'enables', 'instructors', 'to', 'generate', 'a', 'limitless', 'supply', 'of', 'problem', 'material', 'for', 'assignment', ',', 'as', 'well', 'as', 'transfer', 'and', 'integrate', 'their', 'own', 'problems', 'into', 'the', 'software', '.']","tf.Tensor(0, shape=(), dtype=int32)",6
"['August', '2009', ':', 'Neaman:MHDQ134', '-FM', ':', 'About', 'the', 'Author', 'Donald', 'A.', 'Neamen', 'is', 'a', 'professor', 'emeritus', 'in', 'the', 'Department', 'of', 'Electrical', 'and', 'Computer', 'Engineering', 'at', 'the', 'University', 'of', 'New', 'Mexico', 'where', 'he', 'taught', 'for', 'more', 'than', '25', 'years', '.']","tf.Tensor(3, shape=(), dtype=int32)",4
"['Worked', 'examples', 'reinforce', 'the', 'theoretical', 'concepts', 'being', 'developed', ';', 'all', 'examples', 'are', 'followed', 'by', 'exercises', 'to', 'immediately', 'test', 'learning', '.']","tf.Tensor(0, shape=(), dtype=int32)",6
"['FOURTH', 'FOURTH', 'EDITION']","tf.Tensor(0, shape=(), dtype=int32)",6
"['These', 'appear', 'both', 'throughout', 'the', 'chapter', 'and', 'at', 'the', 'end', 'of', 'each', 'chapter', '.']","tf.Tensor(0, shape=(), dtype=int32)",6
