"['August', '2009', ':Neaman:MHDQ134', '-FM', ':', 'xvi', 'Preface', 'COMPUTER', '-AIDED', 'ANALYSIS', 'AND', 'DESIGN', 'Computer', 'analysis', 'and', 'computer-', 'aided', '-', 'design', '(', 'CAD', ')', 'are', 'significant', 'factors', 'in', 'electronics', '.']","tf.Tensor(6, shape=(), dtype=int32)",6
"['08/04/2009', '08:21', 'PM']","tf.Tensor(6, shape=(), dtype=int32)",6
"['DESIGN', 'EMPHASIS']","tf.Tensor(6, shape=(), dtype=int32)",6
"['08/04/2009', '09:05', 'PM']","tf.Tensor(6, shape=(), dtype=int32)",6
"['Op', '-', 'Amp', 'to', 'Match', 'a', 'Given', 'Output', 'Stage', '992', '13.7', 'Summary', '995', 'Problems', '997', 'Chapter', '14', 'Nonideal', 'Effects', 'in', 'Operational', 'Amplifier', 'Circuits', '1009', 'Preview', '1009', '14.1', 'Practical', 'Op', '-', 'Amp', 'Parameters', '1010', '14.2', 'Finite', 'Open-Loop', 'Gain', '1013', '14.3', 'Frequency', 'Response', '1023', '14.4', 'Offset', 'Voltage', '1030', '14.5', 'Input', 'Bias', 'Current', '1042', '14.6', 'Additional', 'Nonideal', 'Effects', '1045', '14.7', 'Design', 'Application', ':', 'An', 'Offset', 'Voltage', 'Compensation', 'Network', '1047', '14.8', 'Summary', '1049', 'Problems', '1050', 'Chapter', '15', 'Applications', 'and', 'Design', 'of', 'Integrated', 'Circuits', '1061', 'Preview', '1061', '15.1', 'Active', 'Filters', '1062', '15.2', 'Oscillators', '1074', '15.3', 'Schmitt', 'Trigger', 'Circuits', '1084', '15.4', 'Nonsinusoidal', 'Oscillators', 'and', 'Timing', 'Circuits', '1096', '15.5', 'Integrated', 'Circuit', 'Power', 'Amplifiers', '1107', '15.6', 'Voltage', 'Regulators', '1114', '15.7', 'Design', 'Application', ':', 'An', 'Active', 'Bandpass', 'Filter', '1122', '15.8', 'Summary', '1125', 'Problems', '1126', 'nea80644_fm_i-xxii.qxd']","tf.Tensor(6, shape=(), dtype=int32)",6
"['August', '2009', ':Neaman:MHDQ134-FM', ':', 'xii', 'Contents', 'PART', '2', 'ANALOG', 'ELECTRONICS', '619', 'Chapter', '9', 'Ideal', 'Operational', 'Amplifiers', 'and', 'Op', '-', 'Amp', 'Circuits', '621', 'Preview', '621', '9.1', 'The', 'Operational', 'Amplifier', '622', '9.2', 'Inverting', 'Amplifier', '627', '9.3', 'Summing', 'Amplifier', '636', '9.4', 'Noninverting', 'Amplifier', '638', '9.5', 'Op', '-', 'Amp', 'Applications', '641', '9.6', 'Operational', 'Transconductance', 'Amplifiers', '657', '9.7', 'Op', '-', 'Amp', 'Circuit', 'Design', '658', '9.8', 'Design', 'Application', ':', 'Electronic', 'Thermometer', 'with', 'an', 'Instrumentation', 'Amplifier', '665', '9.9', 'Summary', '668', 'Problems', '669', 'Chapter', '10', 'Integrated', 'Circuit', 'Biasing', 'and', 'Active', 'Loads', '687', 'Preview', '687', '10.1', 'Bipolar', 'Transistor', 'Current', 'Sources', '688', '10.2', 'FET', 'Current', 'Sources', '707', '10.3', 'Circuits', 'with', 'Active', 'Loads', '719', '10.4', 'Small', '-', 'Signal', 'Analysis', ':', 'Active', 'Load', 'Circuits', '726', '10.5', 'Design', 'Application', ':', 'An', 'NMOS', 'Current', 'Source', '734', '10.6', 'Summary', '736', 'Problems', '737', 'Chapter', '11', 'Differential', 'and', 'Multistage', 'Amplifiers', '753', 'Preview', '753', '11.1']","tf.Tensor(6, shape=(), dtype=int32)",6
"['xv', 'nea80644_fm_i-xxii.qxd']","tf.Tensor(6, shape=(), dtype=int32)",6
"['August', '2009', ':', 'Neaman:MHDQ134-FM', ':', 'x', 'Contents', '3.3', 'Basic', 'MOSFET']","tf.Tensor(6, shape=(), dtype=int32)",6
"['In', 'this', 'text', ',', 'we', 'point', 'out', 'various', 'characteristics', 'and', 'properties', 'of', 'circuits', 'as', 'we', 'go', 'through', 'the', 'analysis', '.']","tf.Tensor(6, shape=(), dtype=int32)",6
"['Page', 'xi', 'F506', 'Tempwork', ':', 'Dont', ""'"", 'Del', 'Rakesh', ':']","tf.Tensor(6, shape=(), dtype=int32)",6
